sample.ID \\ Descriptors	SRA.ID.s.	label
GSM5968915	SRR18463294	T. interdigitale_HaCaT_24h
GSM5968916	SRR18463307	T. interdigitale_HaCaT_24h
GSM5968917	SRR18463293	T. interdigitale_HaCaT_24h
GSM5968918	SRR18463292	T. interdigitale_HaCaT_24h
GSM5968919	SRR18463291	T. interdigitale_HaCaT_24h
