sample.ID \\ Descriptors	SRA.ID.s.	label	genotype
delta_CNAG_03366_TDY3314_rep2	SRR33678722	delta_CNAG_03366_TDY3314	delta CNAG_03366
delta_CNAG_03366_TDY3314_rep3	SRR33678723	delta_CNAG_03366_TDY3314	delta CNAG_03366
delta_CNAG_03366_TDY3314_rep4	SRR33678724	delta_CNAG_03366_TDY3314	delta CNAG_03366
WT_TDY451_rep1	SRR33678606	WT_TDY451	wild type
WT_TDY451_rep2	SRR33678607	WT_TDY451	wild type
WT_TDY451_rep3	SRR33678608	WT_TDY451	wild type
WT_TDY451_rep4	SRR33678609	WT_TDY451	wild type
WT_TDY451_rep5	SRR33678610	WT_TDY451	wild type
WT_TDY451_rep6	SRR33678611	WT_TDY451	wild type
WT_TDY451_rep7	SRR33678612	WT_TDY451	wild type
WT_TDY451_rep8	SRR33678613	WT_TDY451	wild type
WT_TDY451_rep9	SRR33678614	WT_TDY451	wild type
WT_TDY451_rep10	SRR33678615	WT_TDY451	wild type
WT_TDY451_rep11	SRR33678616	WT_TDY451	wild type
WT_TDY451_rep12	SRR33678617	WT_TDY451	wild type
WT_TDY451_rep13	SRR33678618	WT_TDY451	wild type
WT_TDY451_rep14	SRR33678619	WT_TDY451	wild type
WT_TDY451_rep15	SRR33678620	WT_TDY451	wild type
WT_TDY451_rep16	SRR33678621	WT_TDY451	wild type
WT_TDY451_rep17	SRR33678622	WT_TDY451	wild type
WT_TDY451_rep18	SRR33678623	WT_TDY451	wild type
WT_TDY451_rep19	SRR33678624	WT_TDY451	wild type
WT_TDY451_rep20	SRR33678625	WT_TDY451	wild type
WT_TDY451_rep21	SRR33678626	WT_TDY451	wild type
WT_TDY451_rep22	SRR33678627	WT_TDY451	wild type
WT_TDY451_rep23	SRR33678628	WT_TDY451	wild type
WT_TDY451_rep24	SRR33678629	WT_TDY451	wild type
WT_TDY451_rep25	SRR33678630	WT_TDY451	wild type
WT_TDY451_rep26	SRR33678631	WT_TDY451	wild type
WT_TDY451_rep27	SRR33678780	WT_TDY451	wild type
WT_TDY451_rep28	SRR33678781	WT_TDY451	wild type
WT_TDY451_rep29	SRR33678782	WT_TDY451	wild type
WT_TDY451_rep30	SRR33678783	WT_TDY451	wild type
WT_TDY451_rep31	SRR33678784	WT_TDY451	wild type
WT_TDY451_rep32	SRR33678785	WT_TDY451	wild type
WT_TDY451_rep33	SRR33678786	WT_TDY451	wild type
WT_TDY451_rep34	SRR33678787	WT_TDY451	wild type
WT_TDY451_rep35	SRR33678788	WT_TDY451	wild type
WT_TDY451_rep36	SRR33678789	WT_TDY451	wild type
WT_TDY451_rep37	SRR33678790	WT_TDY451	wild type
WT_TDY451_rep38	SRR33678791	WT_TDY451	wild type
WT_TDY451_rep39	SRR33678792	WT_TDY451	wild type
WT_TDY451_rep40	SRR33678793	WT_TDY451	wild type
WT_TDY451_rep41	SRR33678794	WT_TDY451	wild type
WT_TDY451_rep42	SRR33678795	WT_TDY451	wild type
WT_TDY451_rep43	SRR33678796	WT_TDY451	wild type
WT_TDY451_rep44	SRR33678797	WT_TDY451	wild type
WT_TDY451_rep45	SRR33678798	WT_TDY451	wild type
WT_TDY451_rep46	SRR33678799	WT_TDY451	wild type
WT_TDY451_rep47	SRR33678800	WT_TDY451	wild type
WT_TDY451_rep48	SRR33678801	WT_TDY451	wild type
WT_TDY451_rep49	SRR33678802	WT_TDY451	wild type
WT_TDY451_rep50	SRR33678803	WT_TDY451	wild type
WT_TDY451_rep51	SRR33678804	WT_TDY451	wild type
WT_TDY451_rep52	SRR33678805	WT_TDY451	wild type
WT_TDY451_rep53	SRR33678806	WT_TDY451	wild type
WT_TDY451_rep54	SRR33678807	WT_TDY451	wild type
WT_TDY451_rep55	SRR33678808	WT_TDY451	wild type
WT_TDY451_rep56	SRR33678809	WT_TDY451	wild type
WT_TDY451_rep57	SRR33678810	WT_TDY451	wild type
WT_TDY451_rep58	SRR33678811	WT_TDY451	wild type
WT_TDY451_rep59	SRR33678812	WT_TDY451	wild type
WT_TDY451_rep60	SRR33678813	WT_TDY451	wild type
WT_TDY451_rep61	SRR33678814	WT_TDY451	wild type
WT_TDY451_rep62	SRR33678815	WT_TDY451	wild type
WT_TDY451_rep63	SRR33678816	WT_TDY451	wild type
WT_TDY451_rep64	SRR33678817	WT_TDY451	wild type
WT_TDY451_rep65	SRR33678818	WT_TDY451	wild type
WT_TDY451_rep66	SRR33678819	WT_TDY451	wild type
WT_TDY451_rep67	SRR33678820	WT_TDY451	wild type
WT_TDY451_rep68	SRR33678821	WT_TDY451	wild type
WT_TDY451_rep69	SRR33678822	WT_TDY451	wild type
WT_TDY451_rep70	SRR33678823	WT_TDY451	wild type
WT_TDY451_rep71	SRR33678824	WT_TDY451	wild type
WT_TDY451_rep72	SRR33678825	WT_TDY451	wild type
WT_TDY451_rep73	SRR33678826	WT_TDY451	wild type
WT_TDY451_rep74	SRR33678827	WT_TDY451	wild type
WT_TDY451_rep75	SRR33678972	WT_TDY451	wild type
WT_TDY451_rep76	SRR33678973	WT_TDY451	wild type
WT_TDY451_rep77	SRR33678974	WT_TDY451	wild type
WT_TDY451_rep78	SRR33678975	WT_TDY451	wild type
WT_TDY451_rep79	SRR33678976	WT_TDY451	wild type
WT_TDY451_rep80	SRR33678977	WT_TDY451	wild type
WT_TDY451_rep81	SRR33678978	WT_TDY451	wild type
WT_TDY451_rep82	SRR33678979	WT_TDY451	wild type
WT_TDY451_rep83	SRR33678980	WT_TDY451	wild type
WT_TDY451_rep84	SRR33678981	WT_TDY451	wild type
WT_TDY451_rep85	SRR33678982	WT_TDY451	wild type
WT_TDY451_rep86	SRR33678983	WT_TDY451	wild type
WT_TDY451_rep87	SRR33678984	WT_TDY451	wild type
WT_TDY451_rep88	SRR33678985	WT_TDY451	wild type
WT_TDY451_rep89	SRR33678986	WT_TDY451	wild type
WT_TDY451_rep90	SRR33678987	WT_TDY451	wild type
WT_TDY451_rep91	SRR33679133	WT_TDY451	wild type
WT_TDY451_rep92	SRR33679134	WT_TDY451	wild type
WT_TDY451_rep93	SRR33679135	WT_TDY451	wild type
WT_TDY451_rep94	SRR33679136	WT_TDY451	wild type
WT_TDY451_rep95	SRR33679137	WT_TDY451	wild type
WT_TDY451_rep96	SRR33679138	WT_TDY451	wild type
WT_TDY451_rep97	SRR33679139	WT_TDY451	wild type
WT_TDY451_rep98	SRR33679140	WT_TDY451	wild type
WT_TDY451_rep99	SRR33679141	WT_TDY451	wild type
WT_TDY451_rep100	SRR33679142	WT_TDY451	wild type
WT_TDY451_rep101	SRR33679143	WT_TDY451	wild type
WT_TDY451_rep102	SRR33679144	WT_TDY451	wild type
WT_TDY451_rep103	SRR33679145	WT_TDY451	wild type
WT_TDY451_rep104	SRR33679146	WT_TDY451	wild type
WT_TDY451_rep105	SRR33679147	WT_TDY451	wild type
WT_TDY451_rep106	SRR33679148	WT_TDY451	wild type
WT_TDY451_rep107	SRR33679149	WT_TDY451	wild type
WT_TDY451_rep108	SRR33679150	WT_TDY451	wild type
WT_TDY451_rep109	SRR33679151	WT_TDY451	wild type
WT_TDY451_rep110	SRR33679152	WT_TDY451	wild type
WT_TDY451_rep111	SRR33679153	WT_TDY451	wild type
WT_TDY451_rep112	SRR33679154	WT_TDY451	wild type
WT_TDY451_rep113	SRR33679155	WT_TDY451	wild type
WT_TDY451_rep114	SRR33679156	WT_TDY451	wild type
WT_TDY451_rep115	SRR33679157	WT_TDY451	wild type
WT_TDY451_rep116	SRR33679158	WT_TDY451	wild type
WT_TDY451_rep117	SRR33679159	WT_TDY451	wild type
WT_TDY451_rep118	SRR33679160	WT_TDY451	wild type
WT_TDY451_rep119	SRR33679161	WT_TDY451	wild type
WT_TDY451_rep120	SRR33679162	WT_TDY451	wild type
WT_TDY451_rep121	SRR33679163	WT_TDY451	wild type
WT_TDY451_rep122	SRR33679164	WT_TDY451	wild type
