sample.ID \\ Descriptors	SRA.ID.s.	label	treatment
SAMN05190519	SRR3609432,SRR3609433,SRR3609434	Amphotericin B	Amphotericin B
SAMN05190520	SRR3609435,SRR3609436,SRR3609437	Posaconazole	Posaconazole
SAMN05190521	SRR3609438,SRR3609439,SRR3609440	DMSO control	DMSO control
