project,organism full name,organism abbreviation,is_annotated genome,is_reference_strain,orthoMCL abbrev
FungiDB,Albugo candida 2VRR,acan2VRR,1,1,acan
FungiDB,Aspergillus carbonarius ITEM 5010,acarITEM5010,1,1,acar
FungiDB,Aspergillus clavatus NRRL 1,aclaNRRL1,1,1,acla
FungiDB,Aspergillus cristatus GZAAS20.1005,acriGZAAS20.1005,1,1,acri
FungiDB,Aspergillus ellipticus CBS 707.79,aellCBS707.79,1,1,aell
FungiDB,Aspergillus eucalypticola CBS 122712,aeucCBS122712,1,1,aeuc
FungiDB,Aphanomyces euteiches MF1,aeutMF1,1,1,aeut
FungiDB,Aspergillus fijiensis CBS 313.89,afijCBS313.89,1,1,afij
FungiDB,Aspergillus fischeri NRRL 181,afisNRRL181,1,1,afis
FungiDB,Arthrobotrys flagrans CBS H-5679,aflaCBSH-5679,1,1,afcb
FungiDB,Aspergillus flavus NRRL3357,aflaNRRL3357,1,1,afla
FungiDB,Aspergillus flavus NRRL3357 2020,aflaNRRL3357_2020,1,0,afnr
FungiDB,Aspergillus fumigatus A1160,afumA1160,1,0,afua
FungiDB,Aspergillus fumigatus A1163,afumA1163,1,0,afub
FungiDB,Aspergillus fumigatus Af293,afumAf293,1,1,afum
FungiDB,Aspergillus glaucus CBS 516.65,aglaCBS516.65,1,1,agla
FungiDB,Aspergillus heteromorphus CBS 117.55,ahetCBS117.55,1,1,ahet
FungiDB,Aspergillus homomorphus CBS 101889,ahomCBS101889,1,1,ahom
FungiDB,Aspergillus ibericus CBS 121593,aibeCBS121593,1,1,aibe
FungiDB,Aphanomyces invadans NJM9701,ainvNJM9701,1,1,ainv
FungiDB,Aspergillus luchuensis IFO 4308,akawIFO4308,1,0,akaw
FungiDB,Albugo laibachii Nc14,alaiNc14,1,1,alai
FungiDB,Aspergillus lentulus strain IFM 54703,alenIFM54703,1,1,alen
FungiDB,Aspergillus luchuensis CBS 106.47,alucCBS106.47,1,1,aluc
FungiDB,Allomyces macrogynus ATCC 38327,amacATCC38327,1,1,amac
FungiDB,Apiotrichum montevideense JCM 9937,amonJCM9937,0,1,amon
FungiDB,Amauroascus mutatus isolate UAMH 3576,amutUAMH3576,0,1,amut
FungiDB,Aspergillus nidulans FGSC A4,anidFGSCA4,1,1,anid
FungiDB,Aspergillus niger ATCC 1015,anigATCC1015,1,0,anih
FungiDB,Aspergillus niger ATCC 13496,anigATCC13496,1,0,ania
FungiDB,Aspergillus niger CBS 513.88,anigCBS513-88,1,1,anig
FungiDB,Aspergillus niger strain LDM3,anigLDM3,0,0,anld
FungiDB,Aspergillus niger strain N402 (ATCC64974),anigN402ATCC64974,1,0,anin
FungiDB,Amauroascus niger isolate UAMH 3544,anigUAMH3544,0,1,aniu
FungiDB,Aspergillus novofumigatus IBT 16806,anovIBT16806,1,1,anov
FungiDB,Aspergillus ochraceoroseus IBT 24754,aochIBT24754,1,1,aoch
FungiDB,Aspergillus oryzae RIB40,aoryRIB40,1,1,aory
FungiDB,Aspergillus parasiticus CBS 117618,aparCBS117618,1,1,apar
FungiDB,Aspergillus sclerotiicarbonarius CBS 121057,asclCBS121057,1,1,ascl
FungiDB,Aspergillus steynii IBT 23096,asteIBT23096,1,1,aste
FungiDB,Aspergillus sydowii CBS 593.65,asydCBS593.65,1,1,asyd
FungiDB,Aspergillus tanneri NIH1004,atanNIH1004,1,1,atan
FungiDB,Aspergillus terreus NIH2624,aterNIH2624,1,1,ater
FungiDB,Aspergillus thermomutatus strain HMR AF 39,atheHMRAF39,1,1,athe
FungiDB,Aspergillus tubingensis CBS 134.48,atubCBS134.48,1,1,atub
FungiDB,Aspergillus uvarum CBS 121591,auvaCBS121591,1,1,auva
FungiDB,Apophysomyces variabilis NCCPF 102052,avarNCCPF102052,0,1,avar
FungiDB,Aspergillus versicolor CBS 583.65,averCBS583.65,1,1,aver
FungiDB,Aspergillus wentii DTO 134E9,awenDTO134E9,1,1,awen
FungiDB,Penicilliopsis zonata CBS 506.65,azonCBS506.65,1,1,azon
FungiDB,Beauveria bassiana HN6,bbasHN6,0,1,bbas
FungiDB,Byssoonygena ceratinophila isolate UAMH 5669,bcerUAMH5669,0,1,bcer
FungiDB,Botrytis cinerea B05.10,bcinB05-10,1,1,bfuc
FungiDB,Batrachochytrium dendrobatidis JEL423,bdenJEL423,1,1,bden
FungiDB,Blastomyces dermatitidis ATCC 26199,bderATCC26199,1,0,bdea
FungiDB,Blastomyces dermatitidis ER-3,bderER-3,1,1,bder
FungiDB,Blastomyces gilchristii SLH14081,bgilSLH14081,1,1,bgil
FungiDB,Blumeria hordei strain RACE1,bgrasphordeiiRACE1,1,1,bhor
FungiDB,Blumeria graminis f. sp. triticale THUN-12,bgrasp.triticaleTHUN12,1,0,bgrt
FungiDB,Blumeria graminis f. sp. tritici 96224,bgraTritici96224,1,1,bgra
FungiDB,Bremia lactucae strain SF5,blacSF5,1,1,blac
FungiDB,Bipolaris maydis C4,bmayC4,1,1,bmay
FungiDB,Blastomyces percursus strain EI222,bperEI222,1,1,bper
FungiDB,Batrachochytrium salamandrivorans BS,bsalBS,1,1,bsbs
FungiDB,Candida albicans SC5314,calbSC5314,1,1,calb
FungiDB,Candida albicans SC5314_B,calbSC5314_B,1,0,cabb
FungiDB,Candida albicans WO-1,calbWO1,1,0,calw
FungiDB,Candida auris strain 6684,caur6684,1,0,cauu
FungiDB,Candida auris strain B11220,caurB11220,1,0,caub
FungiDB,Candida auris strain B11221,caurB11221,1,0,cauz
FungiDB,Candida auris strain B11243,caurB11243,1,0,cauy
FungiDB,Candida auris strain B11245,caurB11245,1,0,cauc
FungiDB,Candida auris strain B8441,caurB8441,1,1,caur
FungiDB,Cladophialophora bantiana CBS 173.52,cbanCBS173.52,1,1,cban
FungiDB,Cercospora beticola Cb09-40,cbetCb09-40,1,1,cbet
FungiDB,Cladophialophora carrionii CBS 160.54,ccarCBS160.54,1,0,cccb
FungiDB,Cladophialophora carrionii KSF,ccarKSF,1,1,ccar
FungiDB,Cryptococcus cf. gattii MF34,ccf.gattiiMF34,1,1,ccfg
FungiDB,Coprinopsis cinerea #326,ccin326,1,0,cctt
FungiDB,Coprinopsis cinerea okayama7#130,ccinokay7-130,1,1,ccin
FungiDB,Curvularia clavata yc1106,cclayc1106,1,1,ccla
FungiDB,Cryptococcus depauperatus CBS 7841,cdepCBS7841,1,1,cdep
FungiDB,Cryptococcus depauperatus CBS 7855,cdepCBS7855,1,0,cdcb
FungiDB,Cryptococcus deuterogattii R265,cdeuR265,1,1,cdeu
FungiDB,Candida dubliniensis CD36,cdubCD36,1,1,cdub
FungiDB,Candida duobushaemulonis strain B09383,cduoB09383,1,1,cduo
FungiDB,Cyphellophora europaea CBS 101466,ceurCBS101466,1,1,ceur
FungiDB,Cyberlindnera fabianii 65,cfab65,1,1,cfab
FungiDB,Cryptococcus bacillisporus CA1873,cgatCA1873,1,0,cgac
FungiDB,Cryptococcus gattii EJB2,cgatEJB2,1,0,cgae
FungiDB,Cryptococcus tetragattii IND107,cgatIND107,1,0,cgai
FungiDB,Cryptococcus gattii NT-10,cgatNT10,1,0,cgan
FungiDB,Cryptococcus gattii WM276,cgatWM276,1,1,cgat
FungiDB,Cenococcum geophilum 1.58,cgeo1.58,1,1,cgeo
